('EBIT', '8,730,000.00', '10,129,000.00', '13,910,000.00', '6,714,000.00', '1,902,000.00')
         999328 function calls (967565 primitive calls) in 3.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3148    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1360    0.002    0.000    0.005    0.000 _parser.py:172(__setitem__)
      320    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      188    0.002    0.000    0.024    0.000 _compiler.py:511(_compile_info)
       40    0.002    0.000    0.014    0.000 response.py:122(decompress)
     2711    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
     2598    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     2712    0.002    0.000    0.002    0.000 __init__.py:453(set_up_substitutions)
     2568    0.002    0.000    0.002    0.000 parser.py:127(clear_cdata_mode)
      880    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
      300    0.002    0.000    1.230    0.004 ssl.py:1237(recv_into)
      188    0.002    0.000    0.389    0.002 _compiler.py:740(compile)
        9    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     1002    0.002    0.000    0.007    0.000 _compiler.py:398(_simple)
      376    0.002    0.000    0.007    0.000 enum.py:1562(__and__)
     2521    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
      254    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
       10    0.002    0.000    0.014    0.001 enum.py:919(_convert_)
      267    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     2465    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
    52/14    0.002    0.000    0.048    0.003 css_parser.py:911(parse_selectors)
      254    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      300    0.002    0.000    1.233    0.004 socket.py:693(readinto)
     2277    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      428    0.002    0.000    0.003    0.000 element.py:1417(_all_strings)
    212/4    0.002    0.000    0.744    0.186 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      187    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
       77    0.002    0.000    0.016    0.000 css_parser.py:462(parse_attribute_selector)
      192    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       17    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
    162/1    0.001    0.000    3.339    3.339 {built-in method builtins.exec}
      199    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
      136    0.001    0.000    0.002    0.000 css_parser.py:359(__init__)
    187/4    0.001    0.000    0.743    0.186 <frozen importlib._bootstrap>:911(_load_unlocked)
      300    0.001    0.000    1.227    0.004 ssl.py:1095(read)
     1107    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     1059    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      913    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      188    0.001    0.000    0.234    0.001 _parser.py:969(parse)
      839    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1402    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      160    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      480    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1754    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     1670    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
       49    0.001    0.000    0.003    0.000 <frozen abc>:105(__new__)
       21    0.001    0.000    1.782    0.085 __init__.py:1(<module>)
    432/8    0.001    0.000    0.740    0.093 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      254    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      169    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      412    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
  581/562    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      488    0.001    0.000    0.002    0.000 enum.py:726(__call__)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      731    0.001    0.000    0.001    0.000 _parser.py:83(groups)
      512    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
      479    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      320    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       66    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
  187/183    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      300    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
    160/4    0.001    0.000    0.742    0.186 <frozen importlib._bootstrap_external>:989(exec_module)
      188    0.001    0.000    0.152    0.001 _compiler.py:573(_code)
      353    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
  136/131    0.001    0.000    0.010    0.000 css_parser.py:385(freeze)
      718    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       75    0.001    0.000    0.004    0.000 typing.py:1242(__init__)
      595    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      595    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      212    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      118    0.001    0.000    0.005    0.000 _markupbase.py:165(parse_comment)
      318    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      160    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      439    0.001    0.000    0.001    0.000 socket.py:89(<lambda>)
      438    0.001    0.000    0.001    0.000 socket.py:84(<lambda>)
  208/174    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
     1059    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      437    0.001    0.000    0.001    0.000 socket.py:79(<lambda>)
        1    0.001    0.001    0.007    0.007 packages.py:1(<module>)
      440    0.001    0.000    0.001    0.000 socket.py:94(<lambda>)
      130    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      299    0.001    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      640    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      481    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      169    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      952    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      169    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      308    0.001    0.000    0.001    0.000 css_parser.py:238(css_unescape)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
        1    0.001    0.001    2.596    2.596 financial.py:9(parcing)
      602    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
       84    0.001    0.000    0.002    0.000 css_parser.py:798(parse_combinator)
      488    0.001    0.000    0.001    0.000 enum.py:1129(__new__)
      174    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
      273    0.001    0.000    0.001    0.000 css_parser.py:334(match)
      188    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       99    0.001    0.000    0.002    0.000 enum.py:1551(__or__)
      301    0.001    0.000    0.401    0.001 __init__.py:226(compile)
      160    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      450    0.001    0.000    0.001    0.000 typing.py:935(__eq__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       40    0.001    0.000    0.289    0.007 response.py:1173(read_chunked)
      252    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      376    0.001    0.000    0.001    0.000 _compiler.py:570(isstring)
      347    0.000    0.000    0.001    0.000 enum.py:48(_is_dunder)
      118    0.000    0.000    0.004    0.000 _htmlparser.py:241(handle_comment)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      300    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       68    0.000    0.000    0.004    0.000 element.py:273(get_text)
      502    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      210    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      188    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
       24    0.000    0.000    0.002    0.000 enum.py:254(__set_name__)
      189    0.000    0.000    0.003    0.000 css_types.py:360(__init__)
      136    0.000    0.000    0.006    0.000 css_types.py:203(__init__)
      301    0.000    0.000    0.000    0.000 socket.py:732(readable)
  157/148    0.000    0.000    0.010    0.000 typing.py:392(inner)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
  161/158    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       73    0.000    0.000    0.001    0.000 _parser.py:274(getuntil)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      512    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       69    0.000    0.000    0.002    0.000 css_parser.py:532(parse_tag_pattern)
      318    0.000    0.000    0.001    0.000 enum.py:59(_is_sunder)
      192    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      403    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      203    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      232    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      270    0.000    0.000    0.001    0.000 types.py:192(__init__)
      329    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
      508    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      302    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       33    0.000    0.000    0.005    0.000 typing.py:687(Union)
      212    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      503    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
       43    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       22    0.000    0.000    0.003    0.000 enum.py:528(__new__)
      498    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      267    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       59    0.000    0.000    0.273    0.005 client.py:633(_safe_read)
       75    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
       79    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
      334    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      188    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       49    0.000    0.000    0.962    0.020 {method 'readline' of '_io.BufferedReader' objects}
      160    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       33    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:375(_freeze_relations)
    76/43    0.000    0.000    0.404    0.009 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        6    0.000    0.000    0.005    0.001 typing.py:2780(__new__)
      174    0.000    0.000    0.019    0.000 _parser.py:98(closegroup)
      217    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      193    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      189    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
    42/30    0.000    0.000    0.038    0.001 css_parser.py:569(parse_pseudo_class)
       22    0.000    0.000    0.001    0.000 util.py:16(lower)
        3    0.000    0.000    0.029    0.010 utils.py:1(<module>)
       39    0.000    0.000    0.273    0.007 response.py:1151(_handle_chunk)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      220    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      189    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    3.339    3.339 financial.py:1(<module>)
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       77    0.000    0.000    0.002    0.000 css_types.py:267(__init__)
      254    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.001    0.001 feedparser.py:469(_parse_headers)
        8    0.000    0.000    0.000    0.000 message.py:494(get)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      256    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1651(_ip_int_from_string)
      190    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       33    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
      213    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parser.py:56(parsestr)
        1    0.000    0.000    0.126    0.126 dammit.py:67(EntitySubstitution)
      170    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       12    0.000    0.000    0.001    0.000 enum.py:1414(_missing_)
       55    0.000    0.000    0.004    0.000 _htmlparser.py:90(handle_startendtag)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       25    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
    30/17    0.000    0.000    0.487    0.029 {built-in method builtins.__import__}
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
       51    0.000    0.000    0.002    0.000 parser.py:123(set_cdata_mode)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        4    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
        1    0.000    0.000    0.092    0.092 client.py:213(_read_headers)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      144    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    38/29    0.000    0.000    0.037    0.001 css_parser.py:732(parse_pseudo_open)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       39    0.000    0.000    0.014    0.000 response.py:469(_decode)
       54    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       20    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.006    0.003 request.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
      291    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1920(__init__)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.208    0.208 css_parser.py:1(<module>)
    87/85    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      160    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       48    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
       42    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      187    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      111    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       98    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      161    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 message.py:529(get_all)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        7    0.000    0.000    0.005    0.001 typing.py:2761(_make_nmtuple)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       90    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       40    0.000    0.000    0.289    0.007 response.py:1044(stream)
        1    0.000    0.000    0.011    0.011 socket.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.014    0.014 ssl.py:1(<module>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
       29    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
